sampleID	site	diet	E_rectale	C_symbosium	B_formatexigens	R_intestinalis	F_prauznitzii	B_theta	B_caccae	B_ovatus	B_uniformis	B_intestinihominis	E_coli	Desulfovibrio	C_aerofaciens	A_municiphila
MD1a	lumen	FF	0.009687008	4.136352281	0.151423225	0.469055109	1.244015724	7.515078592	19.54940119	1.713070832	9.537623828	2.004190905	7.581358118	6.87879514	0.967171241	38.24277681
MD1b	mucus	FF	0.203472441	3.332517112	0.317160481	0.24195147	1.4435466	8.7621413	20.09071723	2.340224578	8.845512529	1.607956997	6.609064726	4.02805471	0.981798253	41.19588158
MD1d	lumen	FF	0.000610229	4.296009715	0.148895791	0.413735027	2.326801853	8.069663703	17.34513922	2.465933985	9.099729669	2.86258261	6.598402421	7.455773678	0.97392493	37.94279717
MD1e	mucus	FF	0.014465975	4.09847384	0.250524392	0.43529435	2.239596005	7.906313083	16.16178221	2.835331172	6.758240674	3.325859246	5.222874652	5.357671241	1.194758057	44.19881511
MD3a	lumen	FF	0.187318843	4.1249581	2.217592197	0	0.000657259	13.45277922	10.33868561	4.609358055	7.592657101	2.011870099	6.56601839	0.967485392	2.374019862	45.55659987
MD3b	mucus	FF	0.101982323	7.565355338	0.467918894	0	0	7.013451002	24.77437244	1.191126871	12.86843614	1.616386493	3.025475584	7.374055164	0.565235359	33.43620439
MD3d	lumen	FF	0.174774809	3.573600681	1.46926076	0.000640201	0	8.017234205	14.50886998	2.160677588	8.726576654	1.348262815	5.95962894	3.733010672	1.49422859	48.8332341
MD3e	mucus	FF	0.13173432	5.867296443	0.374043561	0.002047684	0.000682561	6.302087955	20.44270922	0.943299638	7.644685919	1.831311814	4.315152177	7.521824896	0.675053069	43.94807074
MD7a	lumen	FR	9.087482293	1.448817174	2.851427842	2.638026739	0	14.12338353	3.100699785	14.2048529	5.668200804	1.77165474	11.68842223	2.248919315	0.986752108	30.18136054
MD7b	mucus	FR	6.180047276	1.583459118	2.247031014	2.374049497	0.001139179	13.38307749	2.993762994	14.7973685	5.358699057	2.579101757	14.21012161	2.343861248	0.279668499	31.66861276
MD8a	lumen	FR	10.17911255	1.787878788	2.12012987	2.829004329	0.027056277	13.70562771	4.404761905	17.57034632	9.869047619	2.405844156	5.945887446	2.500541126	0.792207792	25.86255411
MD8b	mucus	FR	9.393588729	1.858957441	1.733087006	3.024950768	0	14.29306156	4.473814213	16.66700503	8.53550426	2.320482368	4.878494427	2.453796753	0.329563988	30.03769346
MD8d	lumen	FR	8.541702224	1.740911418	1.511207828	2.525317176	0	13.92729135	4.68012175	16.81245377	8.424361381	2.441400694	6.928798999	2.91645332	0.681999204	28.86798088
MD8e	mucus	FR	9.273670906	1.225697152	2.068464786	1.886680829	0.003764757	14.53411138	4.3805631	16.67410654	7.180466292	2.44816737	7.299325033	2.371258773	0.73466534	29.91905774
