sampleID	plate	sampleID2	mouse	group_ID	group_sort	day	diet	day_of_diet
01DEC_01_pl2	2	01DEC_01	1	FF	1	53	FF	FF
01DEC_02_pl2	2	01DEC_02	2	FF	1	53	FF	FF
01DEC_03_pl2	2	01DEC_03	3	FF	1	53	FF	FF
01DEC_05_pl2	2	01DEC_05	5	FR	2	53	FR	FR
01DEC_06_pl2	2	01DEC_06	6	FR	2	53	FR	FR
01DEC_07_pl2	2	01DEC_07	7	FR	2	53	FR	FR
01DEC_08_pl2	2	01DEC_08	8	FR	2	53	FR	FR
01DEC_09_pl2	2	01DEC_09	9	pre	3	53	pre	pre
01DEC_10_pl2	2	01DEC_10	10	pre	3	53	pre	pre
01DEC_11_pl2	2	01DEC_11	11	pre	3	53	pre	pre
01DEC_12_pl2	2	01DEC_12	12	1_FR_FF	4	53	1_FR_FF	FR
01DEC_13_pl2	2	01DEC_13	13	1_FR_FF	4	53	1_FR_FF	FR
01DEC_14_pl2	2	01DEC_14	14	1_FR_FF	4	53	1_FR_FF	FR
01DEC_15_pl2	2	01DEC_15	15	4_FR_FF	5	53	4_FR_FF	FF
01DEC_16_pl2	2	01DEC_16	16	4_FR_FF	5	53	4_FR_FF	FF
01DEC_17_pl2	2	01DEC_17	17	4_FR_FF	5	53	4_FR_FF	FF
01DEC_18_pl2	2	01DEC_18	18	1_pre_FF	6	53	1_pre_FF	pre
01DEC_19_pl2	2	01DEC_19	19	1_pre_FF	6	53	1_pre_FF	pre
01DEC_20_pl2	2	01DEC_20	20	1_pre_FF	6	53	1_pre_FF	pre
01DEC_21_pl2	2	01DEC_21	21	4_pre_FF	7	53	4_pre_FF	FF
01DEC_22_pl2	2	01DEC_22	22	4_pre_FF	7	53	4_pre_FF	FF
01DEC_23_pl2	2	01DEC_23	23	4_pre_FF	7	53	4_pre_FF	FF
01NOV_01_pl1	1	01NOV01_pl1	1	FF	1	23	FF	FF
01NOV_02_pl1	1	01NOV02_pl1	2	FF	1	23	FF	FF
01NOV_03_pl1	1	01NOV03_pl1	3	FF	1	23	FF	FF
01NOV_04_pl1	1	01NOV04_pl1	4	FF	1	23	FF	FF
01NOV_05_pl1	1	01NOV05_pl1	5	FR	2	23	FR	FR
01NOV_06_pl1	1	01NOV06_pl1	6	FR	2	23	FR	FR
01NOV_07_pl1	1	01NOV07_pl1	7	FR	2	23	FR	FR
01NOV_08_pl1	1	01NOV08_pl1	8	FR	2	23	FR	FR
01NOV_09_pl1	1	01NOV09_pl1	9	pre	3	23	pre	pre
01NOV_10_pl1	1	01NOV10_pl1	10	pre	3	23	pre	pre
01NOV_11_pl1	1	01NOV11_pl1	11	pre	3	23	pre	pre
01NOV_12_pl1	1	01NOV12_pl1	12	1_FR_FF	4	23	1_FR_FF	FR
01NOV_13_pl1	1	01NOV13_pl1	13	1_FR_FF	4	23	1_FR_FF	FR
01NOV_14_pl1	1	01NOV14_pl1	14	1_FR_FF	4	23	1_FR_FF	FR
01NOV_15_pl1	1	01NOV15_pl1	15	4_FR_FF	5	23	4_FR_FF	FR
01NOV_16_pl1	1	01NOV16_pl1	16	4_FR_FF	5	23	4_FR_FF	FR
01NOV_17_pl1	1	01NOV17_pl1	17	4_FR_FF	5	23	4_FR_FF	FR
01NOV_18_pl1	1	01NOV18_pl1	18	1_pre_FF	6	23	1_pre_FF	pre
01NOV_19_pl1	1	01NOV19_pl1	19	1_pre_FF	6	23	1_pre_FF	pre
01NOV_20_pl1	1	01NOV20_pl1	20	1_pre_FF	6	23	1_pre_FF	pre
01NOV_21_pl1	1	01NOV21_pl1	21	4_pre_FF	7	23	4_pre_FF	pre
01NOV_22_pl1	1	01NOV22_pl1	22	4_pre_FF	7	23	4_pre_FF	pre
01NOV_23_pl1	1	01NOV23_pl1	23	4_pre_FF	7	23	4_pre_FF	pre
02DEC_01_pl1	1	02DEC01_pl1	1	FF	1	54	FF	FF
02DEC_02_pl1	1	02DEC02_pl1	2	FF	1	54	FF	FF
02DEC_03_pl1	1	02DEC03_pl1	3	FF	1	54	FF	FF
02DEC_04_pl1	1	02DEC04_pl1	4	FF	1	54	FF	FF
02DEC_05_pl1	1	02DEC05_pl1	5	FR	2	54	FR	FR
02DEC_06_pl1	1	02DEC06_pl1	6	FR	2	54	FR	FR
02DEC_07_pl1	1	02DEC07_pl1	7	FR	2	54	FR	FR
02DEC_08_pl1	1	02DEC08_pl1	8	FR	2	54	FR	FR
02DEC_09_pl1	1	02DEC09_pl1	9	pre	3	54	pre	pre
02DEC_10_pl1	1	02DEC10_pl1	10	pre	3	54	pre	pre
02DEC_11_pl1	1	02DEC11_pl1	11	pre	3	54	pre	pre
02DEC_12_pl1	1	02DEC12_pl1	12	1_FR_FF	4	54	1_FR_FF	FF
02DEC_13_pl1	1	02DEC13_pl1	13	1_FR_FF	4	54	1_FR_FF	FF
02DEC_14_pl1	1	02DEC14_pl1	14	1_FR_FF	4	54	1_FR_FF	FF
02DEC_15_pl1	1	02DEC15_pl1	15	4_FR_FF	5	54	4_FR_FF	FF
02DEC_16_pl1	1	02DEC16_pl1	16	4_FR_FF	5	54	4_FR_FF	FF
02DEC_17_pl1	1	02DEC17_pl1	17	4_FR_FF	5	54	4_FR_FF	FF
02DEC_18_pl1	1	02DEC18_pl1	18	1_pre_FF	6	54	1_pre_FF	FF
02DEC_19_pl1	1	02DEC19_pl1	19	1_pre_FF	6	54	1_pre_FF	FF
02DEC_20_pl1	1	02DEC20_pl1	20	1_pre_FF	6	54	1_pre_FF	FF
02DEC_21_pl1	1	02DEC21_pl1	21	4_pre_FF	7	54	4_pre_FF	FF
02DEC_22_pl1	1	02DEC22_pl1	22	4_pre_FF	7	54	4_pre_FF	FF
02DEC_23_pl1	1	02DEC23_pl1	23	4_pre_FF	7	54	4_pre_FF	FF
02NOV_01_pl1	1	02NOV01_pl1	1	FF	1	24	FF	FF
02NOV_02_pl1	1	02NOV02_pl1	2	FF	1	24	FF	FF
02NOV_03_pl1	1	02NOV03_pl1	3	FF	1	24	FF	FF
02NOV_04_pl1	1	02NOV04_pl1	4	FF	1	24	FF	FF
02NOV_05_pl1	1	02NOV05_pl1	5	FR	2	24	FR	FR
02NOV_06_pl1	1	02NOV06_pl1	6	FR	2	24	FR	FR
02NOV_07_pl1	1	02NOV07_pl1	7	FR	2	24	FR	FR
02NOV_08_pl1	1	02NOV08_pl1	8	FR	2	24	FR	FR
02NOV_09_pl1	1	02NOV09_pl1	9	pre	3	24	pre	pre
02NOV_10_pl1	1	02NOV10_pl1	10	pre	3	24	pre	pre
02NOV_11_pl1	1	02NOV11_pl1	11	pre	3	24	pre	pre
02NOV_12_pl1	1	02NOV12_pl1	12	1_FR_FF	4	24	1_FR_FF	FF
02NOV_13_pl1	1	02NOV13_pl1	13	1_FR_FF	4	24	1_FR_FF	FF
02NOV_14_pl1	1	02NOV14_pl1	14	1_FR_FF	4	24	1_FR_FF	FF
02NOV_15_pl1	1	02NOV15_pl1	15	4_FR_FF	5	24	4_FR_FF	FR
02NOV_16_pl1	1	02NOV16_pl1	16	4_FR_FF	5	24	4_FR_FF	FR
02NOV_17_pl1	1	02NOV17_pl1	17	4_FR_FF	5	24	4_FR_FF	FR
02NOV_18_pl1	1	02NOV18_pl1	18	1_pre_FF	6	24	1_pre_FF	FF
02NOV_19_pl1	1	02NOV19_pl1	19	1_pre_FF	6	24	1_pre_FF	FF
02NOV_20_pl1	1	02NOV20_pl1	20	1_pre_FF	6	24	1_pre_FF	FF
02NOV_21_pl1	1	02NOV21_pl1	21	4_pre_FF	7	24	4_pre_FF	pre
02NOV_22_pl1	1	02NOV22_pl1	22	4_pre_FF	7	24	4_pre_FF	pre
02NOV_23_pl1	1	02NOV23_pl1	23	4_pre_FF	7	24	4_pre_FF	pre
