	sampleID	mouse	day_of_diet	day	experiment	cage	sex
1	01DEC_01_pl2	1	FF	53	exp1	c1	male
2	01DEC_02_pl2	2	FF	53	exp1	c1	male
3	01DEC_03_pl2	3	FF	53	exp1	c2	female
4	01DEC_05_pl2	5	FR	53	exp1	c3	male
5	01DEC_06_pl2	6	FR	53	exp1	c3	male
6	01DEC_07_pl2	7	FR	53	exp1	c4	female
7	01DEC_08_pl2	8	FR	53	exp1	c4	female
23	01NOV_01_pl1	1	FF	23	exp1	c1	male
24	01NOV_02_pl1	2	FF	23	exp1	c1	male
25	01NOV_03_pl1	3	FF	23	exp1	c2	female
26	01NOV_04_pl1	4	FF	23	exp1	c2	female
27	01NOV_05_pl1	5	FR	23	exp1	c3	male
28	01NOV_06_pl1	6	FR	23	exp1	c3	male
29	01NOV_07_pl1	7	FR	23	exp1	c4	female
30	01NOV_08_pl1	8	FR	23	exp1	c4	female
46	02DEC_01_pl1	1	FF	54	exp1	c1	male
47	02DEC_02_pl1	2	FF	54	exp1	c1	male
48	02DEC_03_pl1	3	FF	54	exp1	c2	female
49	02DEC_04_pl1	4	FF	54	exp1	c2	female
50	02DEC_05_pl1	5	FR	54	exp1	c3	male
51	02DEC_06_pl1	6	FR	54	exp1	c3	male
52	02DEC_07_pl1	7	FR	54	exp1	c4	female
53	02DEC_08_pl1	8	FR	54	exp1	c4	female
69	02NOV_01_pl1	1	FF	24	exp1	c1	male
70	02NOV_02_pl1	2	FF	24	exp1	c1	male
71	02NOV_03_pl1	3	FF	24	exp1	c2	female
72	02NOV_04_pl1	4	FF	24	exp1	c2	female
73	02NOV_05_pl1	5	FR	24	exp1	c3	male
74	02NOV_06_pl1	6	FR	24	exp1	c3	male
75	02NOV_07_pl1	7	FR	24	exp1	c4	female
76	02NOV_08_pl1	8	FR	24	exp1	c4	female
92	03NOV_01_pl1	1	FF	25	exp1	c1	male
93	03NOV_02_pl1	2	FF	25	exp1	c1	male
94	03NOV_03_pl1	3	FF	25	exp1	c2	female
95	03NOV_04_pl1	4	FF	25	exp1	c2	female
96	03NOV_05_pl1	5	FR	25	exp1	c3	male
97	03NOV_06_pl1	6	FR	25	exp1	c3	male
98	03NOV_07_pl1	7	FR	25	exp1	c4	female
99	03NOV_08_pl1	8	FR	25	exp1	c4	female
115	04NOV_01_pl1	1	FF	26	exp1	c1	male
116	04NOV_02_pl1	2	FF	26	exp1	c1	male
117	04NOV_03_pl1	3	FF	26	exp1	c2	female
118	04NOV_04_pl1	4	FF	26	exp1	c2	female
119	04NOV_05_pl1	5	FR	26	exp1	c3	male
120	04NOV_06_pl1	6	FR	26	exp1	c3	male
121	04NOV_07_pl1	7	FR	26	exp1	c4	female
122	04NOV_08_pl1	8	FR	26	exp1	c4	female
138	15OCT_01_pl1	1	FR	6	exp1	c1	male
139	15OCT_02_pl1	2	FR	6	exp1	c1	male
140	15OCT_03_pl1	3	FR	6	exp1	c2	female
141	15OCT_04_pl1	4	FR	6	exp1	c2	female
142	15OCT_05_pl1	5	FR	6	exp1	c3	male
143	15OCT_06_pl1	6	FR	6	exp1	c3	male
144	15OCT_07_pl1	7	FR	6	exp1	c4	female
145	15OCT_08_pl1	8	FR	6	exp1	c4	female
161	17OCT_01_pl1	1	FR	8	exp1	c1	male
162	17OCT_02_pl1	2	FR	8	exp1	c1	male
163	17OCT_03_pl1	3	FR	8	exp1	c2	female
