sampleID	mouse	group_ID	day	diet	day_of_diet	prop.B_theta	prop.B_intestihominis	prop.R_intestinalis	prop.C_aerofaciens	prop.B_caccae	prop.B_formatexigens	prop.D_piger	prop.B_ovatus	prop.F_prausnitzii	prop.A_muciniphila	prop.B_uniformis	prop.C_symbiosum	prop.E_coli	prop.E_rectale
15OCT_01_pl1	1	FF	6	FF	FR	0.898171925563732	0.376036536630132	0	0.117377329344023	0.160605327012982	1	0.31382144810328	1	0	0.434906886989205	0.440215544178709	0.335551512090529	0.716417114283636	0
28OCT_01_plr	1	FF	19	FF	FF	0.326615419410317	0.481811745915418	0.273142652787923	0.286845648285476	0.63653447159949	0.153704015329817	0.8198152146719	0.0607161100163566	0.34233449658866	0.89459842418348	0.72417302601679	0.433371575690048	0.477459936363517	0.00888016889664882
04NOV_01_pl1	1	FF	26	FF	FF	0.408293537805242	0.481580233869095	0.332152914071166	0.0893192940707677	0.710055019275492	0.0562220308372254	0.881213486886236	0.0782540238289494	0.517494641995355	0.721905697993837	1	0.719459871716562	0.715002882988797	0.00210767449427204
01NOV_01_pl1	1	FF	23	FF	FF	0.407432628168737	0.430509927384426	0.657314043548152	0.127365961743672	0.710114460990027	0.152360238233228	0.686495039760909	0.0997599191845267	0.484592638811324	0.730492661528483	0.82333136038776	0.688048401721722	0.670530114203043	0.0741753117838067
17OCT_01_pl1	1	FF	8	FF	FR	1	0.277901950772365	0	0.0419070229841952	0.133489653662275	0.703514152349989	0.351818813243085	0.780563840703591	0	0.376937932064425	0.259921252828111	0.221505116287814	0.742524210766501	1
29OCT_01_pl1	1	FF	20	FF	FF	0.450671955770841	0.697905387769371	0.468555951909103	0.0944055165979189	0.695146936835853	0.15553843576448	0.737247365502848	0.122165326013733	0.708083227666465	0.672015037483027	0.7770962145374	0.608160488080317	0.837523887145433	0.0748924915170675
20NOV_01_pl2	1	FF	42	FF	FF	0.58132470606613	0.326231514760829	0.334476984431271	0.134193040589936	0.901812319175906	0.0758044459296433	0.681433952218766	0.124457871637892	0.253748506868984	0.746331056311973	0.594405685432731	0.551878220450789	0.546086562100825	0.00528132306421128
02NOV_01_pl1	1	FF	24	FF	FF	0.661589938848508	0.296849811052298	0.337023285661899	0.0330474845680734	0.797932673995162	0.0537644961958528	0.511993204134718	0.0612226581091008	0.468329327746053	0.887604555270814	0.733145509091637	0.313286171416331	0.419667164692712	0.0140108401084011
22OCT_01_pl1	1	FF	13	FF	FR	0.641126030897312	0.283018821647997	0.00259129444893802	0.0524112255663802	0.106520249921563	0.885856444950655	0.276776850094735	0.644087199261712	0.252914185411956	0.459482974143703	0.440264792230991	0.177447179539344	0.795868695271262	0.99292147643504
30OCT_01_pl1	1	FF	21	FF	FF	0.249747299873667	0.303805759759666	0.0507236178547134	1	0.380690479475237	0.640422127791794	0.32345093311195	0.0554275772543251	0.239651739593927	0.850361393451435	0.581680507947378	0.312406054048067	0.226053177608554	0.0469281267860178
21NOV_01_pl2	1	FF	43	FF	FF	0.464428312052824	0.305707714389757	0.795947775964441	0.342692282352124	0.684438992311316	0.150593111119733	0.782613000518272	0.100419111485272	1	0.751336233243339	0.429491552126995	1	0.483680134015017	0.0111496192985473
