	sampleID	plate	sampleID2	mouse	group_ID	group_sort	day	diet	day_of_diet	B_theta	B_ovatus	B_uniformis	B_caccae	B_intestihominis	E_rectale	B_formatexigens	R_intestinalis	F_prausnitzii	E_coli	D_piger	C_aerofaciens	A_muciniphila	C_symbiosum
661	Cecal12_pl1	1	Cecal12_pl1	Cecal12	1_FR_FF	4	54	1_FR_FF	FF	13.4096874254355	5.45215938916726	16.8754473872584	13.7854927225006	1.44953471725125	1.92674779288953	1.30637079455977	4.2531615366261	1.21092817943212	2.35623956096397	5.76831305177762	1.07969458363159	27.4278215223097	3.69840133619661
663	Cecal13_pl2	2	Cecal13	Cecal13	1_FR_FF	4	54	1_FR_FF	FF	10.4600452503525	4.35780568580516	15.3654457815523	12.9160245270027	2.19037938157852	2.32809784568974	3.27245302816671	3.15440863035708	1.98708069646195	3.83644292881267	5.73171131586713	2.78388038167689	28.2585172312031	3.35770731547365
664	Cecal14_pl2	2	Cecal14	Cecal14	1_FR_FF	4	54	1_FR_FF	FF	12.3324122403029	5.43786033500495	12.0697301538566	14.2462388701259	1.73643093508	3.57861699587214	3.08395592399277	0.361614300822161	2.2038003616143	2.99866953228943	4.59181932930782	1.91041517415481	31.5525534745676	3.89588237300856
668	Cecal18_pl2	2	Cecal18	Cecal18	1_pre_FF	6	54	1_pre_FF	FF	10.5951714937384	4.37233722081164	17.3473339932005	13.904548779963	1.87631794121444	0.675646598097861	2.04415372035977	3.48582002840298	0	4.084003959203	5.90437664070233	1.68696475448638	30.8301415845419	3.19318328527779
669	Cecal19_pl2	2	Cecal19	Cecal19	1_pre_FF	6	54	1_pre_FF	FF	12.8782484870061	3.20398718405126	14.8317906728373	17.4706301174795	1.61534353862585	1.27714489142043	2.01584193663225	0.0133499466002136	0	5.42007831968672	6.34567461730153	2.38964044143823	28.3686365254539	4.16963332146671
670	Cecal20_pl2	2	Cecal20	Cecal20	1_pre_FF	6	54	1_pre_FF	FF	13.114585898383	4.04457030288106	17.8609537880653	15.8479028153985	2.08487236312895	0.558154805877042	2.17105803168349	4.29491914963474	0.00205203972748912	3.88245916440942	6.51522613477797	2.21620290568825	23.3665763769187	4.04046622342609
665	Cecal15_pl2	2	Cecal15	Cecal15	4_FR_FF	5	54	4_FR_FF	FF	5.54843181424363	1.39663836423497	16.6418298388494	20.3846820308439	1.75012996014556	0.121296135851672	1.04314676832438	0.745104834517415	0	3.60769364061688	5.48951654825853	2.01351585513776	37.0646335123895	4.19338069658638
666	Cecal16_pl2	2	Cecal16	Cecal16	4_FR_FF	5	54	4_FR_FF	FF	6.04943443653121	1.61290322580645	18.3661499790532	22.0611646418098	2.13657310431504	0.125680770842061	0.867197318810222	0.381231671554252	0	3.56514453288647	6.21281943862589	2.31671554252199	32.0653540008379	4.23963133640553
667	Cecal17_pl2	2	Cecal17	Cecal17	4_FR_FF	5	54	4_FR_FF	FF	9.01994796183868	2.19191043128597	13.8334778837814	9.71379011274935	5.02641330915399	0.00394228494835607	1.53354884491051	0.37057478514547	0	6.53630844437436	6.25640621304108	2.93700228652527	35.3859496964441	7.19072774580147
671	Cecal21_pl2	2	Cecal21	Cecal21	4_pre_FF	7	54	4_pre_FF	FF	7.81867964709461	1.9741067504986	13.0919785011662	21.5495385863503	1.08339248892945	0.0169015988912551	0.556062603522293	0.476625088733394	1.58029949633235	2.96285028563702	7.18317952878342	2.49636615623838	35.0032113037893	4.2068079640334
672	Cecal22_pl2	2	Cecal22	Cecal22	4_pre_FF	7	54	4_pre_FF	FF	7.15367686987339	1.0974877818743	13.5013861499328	18.2457343736603	1.74912115236217	0	0.608762754008403	0.82883191860299	2.48649575580897	2.46934750921718	8.6941610220355	3.41535911286404	35.2396467461202	4.50998885363972
673	Cecal23_pl2	2	Cecal23	Cecal23	4_pre_FF	7	54	4_pre_FF	FF	7.46833855799373	2.41003134796238	10.951724137931	13.5824451410658	3.11724137931034	0.235736677115987	1.38181818181818	0	0	5.58996865203762	3.76677115987461	3.38056426332288	40.4614420062696	7.65391849529781
649	Cecal01_pl1	1	Cecal01_pl1	Cecal01	FF	1	54	FF	FF	6.1310592459605	2.02872531418312	11.1669658886894	20.3590664272891	3.29443447037702	0	0.466786355475763	0.718132854578097	2.02872531418312	6.14901256732495	9.21903052064632	2.58527827648115	30.6822262118492	5.1705565529623
650	Cecal02_pl1	1	Cecal02_pl1	Cecal02	FF	1	54	FF	FF	7.5024925224327	2.11864406779661	8.47457627118644	21.4855433698903	3.36490528414756	0.249252243270189	1.24626121635095	0.922233300099701	1.94416749750748	3.73878364905284	6.9790628115653	0.373878364905284	35.5932203389831	6.00697906281157
651	Cecal04_pl1	1	Cecal04_pl1	Cecal04	FF	1	54	FF	FF	4.60479368677329	3.02648700835327	17.5796499181463	20.7404608991311	1.83436175124879	0.100742979473618	0.520505393947026	0	0	8.14758846492885	7.8831381438106	1.36003022289384	28.0611174075473	6.14112412374596
